"dxhy.name","force.mean","torque.mean","force.median","torque.median","force.sd","torque.sd","force.max","torque.max","force.skewness","torque.skewness","force.kurtosis","torque.kurtosis","force.IQR","torque.IQR","force.coefficient_of_variation","torque.coefficient_of_variation","spearman.correlation","pearson.correlation","spectral_density.df","spectral_density.bandwidth","dual.gini","force.gini","torque.gini","force.autocorr.mean","force.autocorr.sd","torque.autocorr.mean","torque.autocorr.sd"
"d1h1",214.357145084211,13.1242930368421,250.6761,14.62726,87.2489105616026,6.66559380893214,311.9313,311.9313,-1.29047518189682,-0.602235424552097,3.36778572006795,2.77938460334913,75.36655,6.23321,40.7025903089569,50.7882122886215,0.622381624317631,0.583715947314807,1.77292809262645,0.00150351632601465,0.54966086019018,0.206362314979724,0.276606609818512,0.552815756401264,0.273623780251123,0.677149793077691,0.203619635772581
"d1h2",227.138738989418,16.0115390952381,264.2845,18.61651,88.4788741359868,7.94031969342437,325.6428,325.6428,-1.4233234357783,-0.819408872533708,3.78895055097983,2.50598172836033,64.64,9.64069,38.9536696952909,49.5912332112149,0.714176929977852,0.622782906562522,1.76359689213894,0.00150351632601465,0.536777053878382,0.194379185227375,0.269495427904635,0.551152632482278,0.257377256290216,0.684863573568416,0.193758565941509
"d1h3",230.769987314433,16.0701098659794,268.8206,18.78273,96.8605684688685,8.21575034880667,343.4678,343.4678,-1.27826883414101,-0.773683259740809,3.42694818682515,2.29054105852989,75.9803,12.13397775,41.9727754012017,51.1244192934829,0.781244153596727,0.710478358864639,1.73784277879342,0.00144337567297406,0.548413177591989,0.214904023865102,0.279846670073673,0.603638341664884,0.236207435822221,0.673623667943598,0.207282080979289
"d1h4",232.125440070707,16.6336408737374,269.38765,19.28139,113.563540442717,8.69252845282943,381.8601,381.8601,-0.827398574781753,-0.623691127679059,2.48954562314789,2.05333927744665,130.608575,14.8765915,48.9233495510552,52.2587238645626,0.84163016644355,0.813058508742445,1.77367458866545,0.00144337567297406,0.571692598492452,0.265731971881657,0.290801931098508,0.673549743560495,0.215608005810741,0.698643885463319,0.197030295238704
"d1h5",235.13017578607,16.9857501890547,274.4908,19.61383,119.051579570003,9.32241085665846,385.9735,385.9735,-0.761739135631913,-0.541176648010946,2.3259589822957,1.91091423687432,161.8908,15.957011,50.632199449517,54.883715778804,0.864339390643213,0.838573714509234,1.66717448710136,0.00133645895645747,0.577355571297554,0.277382791527609,0.307607049234574,0.680255923223212,0.212005286198474,0.708356110045737,0.197051885831559
"d1h6",239.421788467662,17.5993545820896,273.3568,20.94358,120.466646041918,8.82242751561851,399.7223,399.7223,-0.744607876086255,-0.698361042747478,2.29312978296658,2.02953347282307,172.9879,15.292137,50.3156570723676,50.1292673800486,0.849128236490497,0.836038304739657,1.66717448710136,0.00133645895645747,0.574456790417537,0.276999311800049,0.275439836901335,0.689344258306199,0.203071198493219,0.701051029812877,0.19829409724822
"d1h7",240.351521487685,18.0367959261084,275.6248,20.94358,122.357083406935,9.45303403650763,396.9428,396.9428,-0.726595484213026,-0.601710862837319,2.24134568365738,1.90206423229677,175.66335,16.954331,50.9075551715217,52.4097188615651,0.867739230681241,0.851298547426768,1.68376328796804,0.00133645895645747,0.575635803030579,0.280888757655158,0.291050982614429,0.701128876109327,0.195139983045738,0.715364598994693,0.18878048162477
"d1h8",244.559016342857,17.4846436,286.39815,20.94358,132.309316382803,9.75805903322986,419.6563,419.6563,-0.630380237723698,-0.492417552230874,2.02863734435704,1.7124578772617,220.713625,18.284082,54.1011811223974,55.8093104810547,0.894787888261486,0.884065406745494,1.74182409100142,0.00133645895645747,0.58893250354799,0.300808498329554,0.311594129181943,0.745802193153858,0.167353640686904,0.746562877667887,0.17444357133017
"d1h9",232.494245484018,16.5611691278539,276.7589,19.94627,135.912731453523,10.1053508736261,415.3847,415.3847,-0.519724244737567,-0.410908491207662,1.87104930988192,1.61071713215112,243.948075,20.444927,58.4585356814202,61.0183423381029,0.902863684471659,0.896066941570262,1.74381474710542,0.00128300059819917,0.603924496377304,0.327019325676597,0.342097436871067,0.751916187635645,0.16987643661412,0.769609767251914,0.161520939944412
"d1h10",253.423521047847,18.3286141196172,291.5013,22.27333,133.597288540487,10.0596034293792,433.8948,433.8948,-0.588342175311643,-0.542843250376536,2.10886385542505,1.77915040032011,199.5335,18.616516,52.7170043207092,54.8846921198059,0.889850440527597,0.884329007294964,1.73352969056808,0.00133645895645747,0.584408549166887,0.29497310067825,0.305453584535081,0.725677383997887,0.181470898913289,0.733025595400986,0.181597057407747
"d1h11",244.731623986667,17.3709811466667,280.161,21.94089,146.11230234988,10.5701393746405,442.4379,442.4379,-0.421278552040482,-0.415575613960095,1.8043601977701,1.55332786610506,273.4243,20.943578,59.7030739099906,60.8494090540696,0.90759364415532,0.909809907461079,1.79159049360146,0.00128300059819917,0.608288705123059,0.337360166023401,0.339206719701678,0.792125993767218,0.139696787970551,0.777603683023337,0.153882346300145
"d1h12",255.23496434375,18.1712854330357,294.9034,23.43686,151.620279307022,11.1241638090279,445.2856,445.2856,-0.456734295413078,-0.422302028269609,1.7674377594787,1.53590078098269,285.33715,22.107109,59.4041963243013,61.2183648208179,0.910923395584754,0.924827283017695,1.78362786918546,0.00128300059819917,0.606175249167628,0.333995089654085,0.339557716811958,0.790866757748958,0.139552150083706,0.778461736849251,0.153895353431881
"d1h13",268.598292511521,17.9332555990783,300.9621,23.60308,153.465354883167,10.9414299648265,472.3387,472.3387,-0.444840847192011,-0.497813451600737,1.89730212189939,1.61565295343193,262.5433,20.611145,57.1356405315138,61.01195571756,0.906713267211868,0.913744289199234,1.72788949827341,0.00128300059819917,0.604398951989386,0.323142128356351,0.33663779531679,0.77182529909423,0.151568451809961,0.760690653528462,0.16590128836718
"d1h14",277.084366121076,20.4501397713004,310.5601,26.92746,163.190283772084,11.8025144594865,490.8488,490.8488,-0.413870787650885,-0.468143125623279,1.7783810454047,1.59178992153394,294.91855,22.771983,58.8955219872546,57.7136126768683,0.913077389405307,0.92041426026311,1.77566524476945,0.00128300059819917,0.602855168923206,0.33302389775328,0.31928459600542,0.78646136920538,0.142130414805079,0.775678550205469,0.153036569724968
"d1h15",280.523636633484,20.5795519457014,318.7871,27.2599,162.545815874731,11.5689686758995,503.7842,503.7842,-0.418071280351879,-0.464716452478711,1.81464141730067,1.61553951996841,285.8412,21.608458,57.9437147704967,56.2158433109913,0.892076352602221,0.914442194516637,1.75973999593744,0.00128300059819917,0.599923432559251,0.327975988005364,0.311472691241204,0.783699640670162,0.14375178249361,0.763256355290268,0.157546527076146
"d1h16",257.80607575,19.555242307377,276.19185,23.93552,176.703594298397,12.4927035491322,502.3256,502.3256,-0.239710077225598,-0.264285780830087,1.56422497300712,1.3870464390914,358.644925,26.42880325,68.5412839027697,63.884166469364,0.924069290072458,0.936627779208577,1.74859232175503,0.00115470053837925,0.633660637787599,0.389034515486183,0.356629331067947,0.841203982352364,0.108750175768904,0.824199114231555,0.121529094066843
"d1h17",283.416023004484,21.0106625022422,318.7871,26.26258,165.702090172799,12.006711425857,496.5442,496.5442,-0.425568535888183,-0.459853508643793,1.79091899357558,1.60300689896068,290.1752,23.270644,58.4660275788915,57.1458012072477,0.916960676732887,0.924239472956657,1.77566524476945,0.00128300059819917,0.601068354141148,0.330334872941183,0.317571762591509,0.787418317814081,0.141457837023633,0.772530961805593,0.153772050808627
"d1h18",277.781818554113,20.6111410606061,313.3024,26.92746,171.843666238889,12.4095984921836,505.2427,505.2427,-0.359870966531417,-0.375417300222839,1.6816942043002,1.49027019811851,325.38975,24.932827,61.8628199402524,60.2082070841872,0.914054032161379,0.934964543959296,1.72440585009141,0.00120281306081172,0.612188060225347,0.350157182658337,0.334241325650239,0.812492890590013,0.125854801133318,0.795089877532314,0.139873689154216
"d1h19",283.455079411017,20.7998979152542,300.31935,25.26527,181.304360917394,12.7210727447846,527.1215,527.1215,-0.302195758233657,-0.323178928112593,1.62031010479986,1.45761922652353,361.07028,25.514596,63.962290354479,61.1593037456941,0.920266442580046,0.937772651715506,1.76173065204144,0.00120281306081172,0.619299960300089,0.362558802779143,0.341888253106272,0.827067442977364,0.116680334297695,0.807708377521221,0.130967480579928
"d1h20",288.759289182203,21.7972111271186,311.2457,25.93015,181.885870251564,12.7882517105716,524.2043,524.2043,-0.312060589848138,-0.325914645206623,1.62442492190407,1.49604904176259,351.1391,25.0159375,62.988751207514,58.6692106434722,0.910438087030222,0.936161452436269,1.76173065204144,0.00120281306081172,0.614791012078919,0.356708207852482,0.329047302671857,0.822703797163899,0.118173156273458,0.803961121939195,0.13237239826571
"d1h21",223.128909738028,22.6067041211268,150.2962,25.59771,227.864753581341,15.6662685605251,592.7578,592.7578,0.429801994556754,-0.124966780762421,1.4988216733281,1.35188065965628,482.558749,31.91402,102.122469853357,69.2992152973082,0.803006798624255,0.742531419464073,1.76670729230144,0.00080187537387448,0.707557568614219,0.557632238988243,0.390286642585698,0.926464617221354,0.0542554419652336,0.892107983114996,0.0728966130661746
