Drillbit,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,RUL
d1h1,0.284954286,2.6595,5.936385714,10.02062857,12.34772857,13.77257143,13.44,14.43714286,14.48485714,14.67485714,14.76971429,14.05742857,15.862,16.09942857,16.95414286,16.85928571,16.47942857,17.42928571,18.61657143,20.42142857,23.93571429,23.31828571,18.61657143,12.63271429,8.121042857,0,16.40797143,69.75471429,161.9914286,197.72,214.55,245.6528571,244.1971429,251.6471429,240.9557143,250.6757143,253.7557143,256.9942857,259.9071429,266.39,269.6285714,264.9314286,277.57,274.1642857,287.4514286,301.7314286,298.6757143,294.7928571,251.8114286,188.9571429,113.3138571,54.18685714,20
d1h2,1.23477,4.891585714,7.978514286,11.87304286,14.34242857,17.23928571,17.904,18.71142857,18.90157143,19.18642857,19.70871429,19.28142857,20.42114286,21.181,21.56071429,22.41585714,23.08071429,22.27328571,23.793,24.98042857,26.12014286,22.17842857,17.14428571,11.92051429,3.989257143,0,33.12508571,143.7958571,225.89,222.9714286,227.8342857,251.9714286,252.9428571,264.6071429,262.9871429,271.8985714,272.0585714,271.8985714,269.9528571,272.8714286,283.0771429,294.4471429,292.7114286,297.06,302.3171429,306.0885714,306.7,280.6771429,232.8557143,158.6271429,92.291,37.62128571,19
d1h3,0.124665,3.44905,7.1058625,11.4275625,14.585625,17.453125,18.1595,19.4895,19.987875,20.528125,20.444875,19.987625,21.816125,21.85775,22.231875,24.267875,23.6445,25.597625,25.763875,22.190125,16.622,9.7654375,2.9919375,0.207775,0,0,49.708875,186.1325,230.97125,218.35625,254.645,252.095,267.6875,266.12625,276.3325,282.28875,274.91375,280.01875,289.53625,296.13,296.49375,327.87125,327.185,324.78625,317.245,262.15875,185.535,95.98325,31.5614875,2.57201625,-0.16055,0,18
d1h4,0.290885,0.87266875,3.6152625,7.2305,11.21995,15.91525,17.453,19.115125,19.61375,20.27875,19.78,21.899125,21.691625,22.605875,22.93825,25.473125,26.30425,25.930125,26.38725,27.13525,22.522625,17.079125,10.139475,4.4463625,1.745275,0,34.808,105.328125,201.5675,219.49125,246.28125,259.32125,267.12,271.37,278.7425,282.7125,279.31,289.3775,296.21875,328.385,345.01125,361.29375,369.1775,367.4625,337.47,277.49375,186.115,98.007125,37.2795,5.76343625,-0.0048625,0,17
d1h5,0.74799375,3.2828125,7.0643125,11.6352625,15.043,17.743875,18.741125,19.90475,21.151375,21.6915,22.481125,23.062875,23.395125,26.220875,26.42875,27.88325,26.4705,27.92475,27.675375,24.268,16.164875,10.5134125,4.4048125,2.867275,0,0,32.41445,101.874375,200.15625,221.61625,250.67625,262.86625,270.52125,274.3475,287.95875,291.1725,293.0625,297.47,313.98625,336.27125,353.40875,366.265,380.3175,379.63375,352.2075,289.08625,186.39875,108.2175,45.12525,10.6836875,1.90711125,0,16
d1h6,0.70644375,1.45441625,4.280125,8.1863,12.25875,16.82975,18.949,19.281375,21.275875,22.356375,23.187625,22.8965,24.891375,25.016125,25.763875,25.39,26.05475,25.971625,27.052,26.71975,23.603,18.284,11.34435,6.7318625,3.69835,0,36.137875,106.330375,201.7,219.34875,245.00625,266.835,269.38625,275.19875,294.58375,296.2575,302.71375,316.64,342.2675,361.2925,363.35,359.57875,375.17625,387.18125,346.38125,281.2225,193.27375,109.781375,49.3805,13.875175,2.57199,0,15
d1h7,0.664875,1.53755125,4.197025,7.9369625,12.5496625,16.62175,19.323,19.98775,21.73325,22.43975,24.558875,24.84975,24.974375,26.969,27.135375,27.3015,27.426125,28.091,27.0935,28.007875,23.72775,18.367125,11.3444625,6.316325,3.823025,0.706425,34.27625,109.477,202.68625,218.78125,250.11,268.82125,274.205,279.59625,298.06875,300.26125,311.075,324.78625,341.58125,360.265,358.2075,371.92,382.54625,383.23125,359.4075,276.005,195.66125,118.983125,56.5615,16.401875,5.7635,0.2383875,14
d1h8,0.49865875,1.1219975,3.9892625,7.6876125,11.801675,16.621875,18.866,20.403375,22.23175,23.02125,24.060125,24.80825,26.30425,26.4705,26.34575,27.634,28.008,27.467625,28.34025,27.592375,23.519875,17.328375,11.09525,5.8592125,3.7815,3.615275,36.669625,114.49725,203.68375,220.9075,249.82375,273.07375,283.42125,296.34375,303.6425,319.13125,334.38625,350.1525,366.435,378.60625,374.49125,393.77375,404.025,390.4425,367.29125,302.475,214.57375,132.635,68.928375,24.912375,11.481625,3.76883625,13
d1h9,0.591002222,0.738751111,2.659522222,6.537944444,11.22905556,16.76955556,19.05977778,20.42644444,21.53477778,22.56888889,22.71666667,25.26544444,27.112,26.55822222,26.96433333,27.814,27.40755556,28.03555556,26.37344444,19.39222222,12.44785556,5.688377778,2.991944444,1.809966667,0.295511111,0,5.029411111,77.39122222,173.2522222,219.4277778,248.1566667,269.1977778,285.8322222,291.1255556,307.5488889,305.2288889,315.4366667,346.0577778,368.15,376.2244444,387.0877778,407.4933333,395.4955556,350.6288889,251.6833333,154.2822222,77.24677778,27.20277778,13.13642222,4.744,0.305598889,0,12
d1h10,0.664875,1.41286625,3.6568125,7.4798375,11.510725,16.66325,19.15675,21.193,22.56425,24.268,24.392875,25.09925,26.22075,27.675375,27.426125,27.7585,28.54825,28.963625,28.381875,29.836125,26.76125,20.403375,14.211625,7.646125,3.90615,3.0335,30.5525575,104.709375,196.77625,220.05875,244.155,267.82875,285.40625,299.81,309.5325,320.33,322.3875,332.3275,356.32125,381.51875,383.23125,408.51375,425.35,426.06375,398.27375,337.68625,251.10125,166.285,92.359875,37.27925,16.268875,6.561445,11
d1h11,0.406314444,1.329746667,4.654122222,8.717255556,14.33177778,18.61677778,21.97788889,23.30766667,24.74833333,25.48688889,25.96711111,27.22288889,26.70588889,26.59511111,28.25722222,28.10955556,29.43933333,29.69777778,25.15455556,18.61644444,11.6352,5.725322222,3.693766667,2.400944444,1.477501111,0,37.88997778,121.871,211.6322222,222.5788889,253.5744444,274.2388889,297.8755556,311.17,323.3588889,339.6577778,365.8633333,386.7344444,403.8566667,402.8677778,425.8255556,435.0022222,419.9733333,341.6388889,248.9111111,160.51,76.07844444,30.74877778,18.33733333,6.517111111,1.576997778,0,10
d1h12,0.812635556,1.514447778,4.801877778,8.938888889,15.10733333,19.355,23.49211111,25.74544444,26.96444444,26.52122222,26.92755556,28.25722222,28.33111111,29.25455556,29.18066667,28.55266667,29.99333333,30.95366667,25.44988889,18.61644444,11.74601111,5.429822222,2.954988889,2.1793,1.182022222,0,34.93487778,120.3381111,212.3911111,220.3088889,260.6288889,282.0111111,316.3488889,332.8044444,349.4088889,363.4255556,384.1888889,413.02,422.3488889,424.72,421.3955556,432.6311111,430.2544444,360.4,264.6122222,170.5044444,77.92788889,27.08444444,19.40122222,9.353922222,2.074321111,0,9
d1h13,0.369376667,3.656822222,7.756888889,12.70656667,19.09677778,23.30766667,25.52377778,25.70855556,26.29944444,26.48422222,28.368,27.51833333,27.85077778,28.22033333,28.84822222,28.996,28.84822222,24.56344444,17.87766667,11.52465556,5.097377778,2.290133333,1.477514444,0,0,0,33.87105111,121.4106667,209.7444444,219.4266667,252.9422222,281.7988889,309.3388889,326.1,354.4366667,364.1866667,404.0966667,426.7755556,428.8311111,450.1888889,463.48,458.4166667,431.8366667,360.6833333,268.2333333,182.1233333,87.44444444,24.95666667,13.25464444,2.616331111,0,0,8
d1h14,1.108155556,1.920755556,4.728011111,8.828055556,14.88577778,19.87244444,25.93011111,28.25711111,29.43933333,29.54988889,30.43644444,31.17533333,30.87977778,32.17244444,32.09877778,31.98788889,32.39433333,32.43111111,28.73722222,22.86444444,16.474,10.37933333,4.986566667,3.472133333,1.699122222,0,26.18782111,110.3251111,208.5033333,219.3022222,259.1166667,280.9144444,328.9944444,359.0088889,378.8122222,395.9044444,414.7511111,440.6988889,461.1055556,461.4222222,465.6933333,481.1977778,460.4722222,398.0355556,302.0611111,214.9422222,119.4584444,44.69677778,19.87422222,11.36328889,2.689843333,0,7
d1h15,1.329755556,2.290122222,5.651433333,9.677711111,15.44,20.38955556,27.07511111,28.70055556,29.80844444,29.80855556,29.55,30.32588889,30.69522222,31.06455556,31.28588889,32.13544444,32.24644444,33.42844444,28.25722222,21.60855556,14.886,8.865011111,6.316322222,3.324388889,1.181988889,0,37.29898889,123.9615556,212.5066667,222.0733333,262.3955556,291.64,333.7177778,366.3211111,389.3355556,390.24,423.6122222,456.0455556,449.2411111,450.0322222,476.9266667,494.5066667,463.4777778,373.2022222,288.8722222,207.5488889,107.1908889,36.777,19.04644444,10.53586667,1.911433333,0,6
d1h16,1.49596,2.69276,6.4493,11.43578,17.9184,24.2346,28.5563,29.6867,30.3184,30.817,31.9141,32.4792,31.9472,33.9417,32.2131,34.1415,30.5511,23.8359,16.9543,10.8042,4.75387,3.72331,2.9587,2.6595,0.66487,0,32.802339,131.2932,214.84,234.234,267.8,315.377,348.816,379.118,403.562,427.916,456.107,449.986,456.106,486.295,495.273,436.765,329.883,232.539,122.8182,39.4605,18.3966,8.71557,1.375189,0.843284,0.146604,0,5
d1h17,1.403622222,2.290122222,5.466755556,9.308222222,16.14177778,19.72477778,26.85355556,29.66088889,29.73466667,29.99344444,30.32566667,31.13833333,31.87722222,32.83755556,33.20688889,32.76344444,34.05633333,33.613,28.95911111,23.45533333,16.80666667,10.52733333,5.245122222,3.582933333,1.625266667,0,34.69845556,118.9191111,214.5288889,221.6955556,267.8122222,286.4322222,337.0677778,373.0233333,384.2977778,394.2188889,427.0922222,444.9688889,466.9611111,471.7055556,483.0966667,474.3944444,479.4566667,407.8155556,312.7055556,224.2511111,119.2471111,44.46044444,18.692,11.71807778,3.162655556,0,4
d1h18,1.477488889,2.364011111,5.577588889,9.603766667,15.14433333,20.46322222,27.22288889,29.40233333,31.17533333,31.17522222,31.95088889,31.80322222,32.76344444,32.09866667,32.20955556,32.72655556,34.94277778,32.98522222,29.77155556,23.45533333,16.88044444,10.78583333,5.577577778,3.841511111,2.548677778,1.071177778,34.93498889,120.1192222,212.6433333,220.6866667,256.8488889,292.1022222,347.4288889,378.6833333,403.9966667,405.9444444,433.2611111,459.2077778,467.9066667,463.3211111,483.4122222,490.0722222,482.0233333,402.5788889,315.9077778,233.5433333,131.1913333,52.38022222,21.05611111,14.20012222,5.2168,1.059497778,3
