dxhy.name,force.mean,torque.mean,force.median,torque.median,force.sd,torque.sd,force.max,torque.max,force.skewness,torque.skewness,force.kurtosis,torque.kurtosis,force.IQR,torque.IQR,force.coefficient_of_variation,torque.coefficient_of_variation,spearman.correlation,pearson.correlation
d1h1,214.3571451,13.12429304,250.6761,14.62726,87.24891056,6.665593809,311.9313,311.9313,-1.290475182,-0.602235425,3.36778572,2.779384603,75.36655,6.23321,40.70259031,50.78821229,0.622381624,0.583715947
d1h2,227.138739,16.0115391,264.2845,18.61651,88.47887414,7.940319693,325.6428,325.6428,-1.423323436,-0.819408873,3.788950551,2.505981728,64.64,9.64069,38.9536697,49.59123321,0.71417693,0.622782907
d1h3,230.7699873,16.07010987,268.8206,18.78273,96.86056847,8.215750349,343.4678,343.4678,-1.278268834,-0.77368326,3.426948187,2.290541059,75.9803,12.13397775,41.9727754,51.12441929,0.781244154,0.710478359
d1h4,232.1254401,16.63364087,269.38765,19.28139,113.5635404,8.692528453,381.8601,381.8601,-0.827398575,-0.623691128,2.489545623,2.053339277,130.608575,14.8765915,48.92334955,52.25872386,0.841630166,0.813058509
d1h5,235.1301758,16.98575019,274.4908,19.61383,119.0515796,9.322410857,385.9735,385.9735,-0.761739136,-0.541176648,2.325958982,1.910914237,161.8908,15.957011,50.63219945,54.88371578,0.864339391,0.838573715
d1h6,239.4217885,17.59935458,273.3568,20.94358,120.466646,8.822427516,399.7223,399.7223,-0.744607876,-0.698361043,2.293129783,2.029533473,172.9879,15.292137,50.31565707,50.12926738,0.849128236,0.836038305
d1h7,240.3515215,18.03679593,275.6248,20.94358,122.3570834,9.453034037,396.9428,396.9428,-0.726595484,-0.601710863,2.241345684,1.902064232,175.66335,16.954331,50.90755517,52.40971886,0.867739231,0.851298547
d1h8,244.5590163,17.4846436,286.39815,20.94358,132.3093164,9.758059033,419.6563,419.6563,-0.630380238,-0.492417552,2.028637344,1.712457877,220.713625,18.284082,54.10118112,55.80931048,0.894787888,0.884065407
d1h9,232.4942455,16.56116913,276.7589,19.94627,135.9127315,10.10535087,415.3847,415.3847,-0.519724245,-0.410908491,1.87104931,1.610717132,243.948075,20.444927,58.45853568,61.01834234,0.902863684,0.896066942
d1h10,253.423521,18.32861412,291.5013,22.27333,133.5972885,10.05960343,433.8948,433.8948,-0.588342175,-0.54284325,2.108863855,1.7791504,199.5335,18.616516,52.71700432,54.88469212,0.889850441,0.884329007
d1h11,244.731624,17.37098115,280.161,21.94089,146.1123023,10.57013937,442.4379,442.4379,-0.421278552,-0.415575614,1.804360198,1.553327866,273.4243,20.943578,59.70307391,60.84940905,0.907593644,0.909809907
d1h12,255.2349643,18.17128543,294.9034,23.43686,151.6202793,11.12416381,445.2856,445.2856,-0.456734295,-0.422302028,1.767437759,1.535900781,285.33715,22.107109,59.40419632,61.21836482,0.910923396,0.924827283
d1h13,268.5982925,17.9332556,300.9621,23.60308,153.4653549,10.94142996,472.3387,472.3387,-0.444840847,-0.497813452,1.897302122,1.615652953,262.5433,20.611145,57.13564053,61.01195572,0.906713267,0.913744289
d1h14,277.0843661,20.45013977,310.5601,26.92746,163.1902838,11.80251446,490.8488,490.8488,-0.413870788,-0.468143126,1.778381045,1.591789922,294.91855,22.771983,58.89552199,57.71361268,0.913077389,0.92041426
d1h15,280.5236366,20.57955195,318.7871,27.2599,162.5458159,11.56896868,503.7842,503.7842,-0.41807128,-0.464716452,1.814641417,1.61553952,285.8412,21.608458,57.94371477,56.21584331,0.892076353,0.914442195
d1h16,257.8060758,19.55524231,276.19185,23.93552,176.7035943,12.49270355,502.3256,502.3256,-0.239710077,-0.264285781,1.564224973,1.387046439,358.644925,26.42880325,68.5412839,63.88416647,0.92406929,0.936627779
d1h17,283.416023,21.0106625,318.7871,26.26258,165.7020902,12.00671143,496.5442,496.5442,-0.425568536,-0.459853509,1.790918994,1.603006899,290.1752,23.270644,58.46602758,57.14580121,0.916960677,0.924239473
d1h18,277.7818186,20.61114106,313.3024,26.92746,171.8436662,12.40959849,505.2427,505.2427,-0.359870967,-0.3754173,1.681694204,1.490270198,325.38975,24.932827,61.86281994,60.20820708,0.914054032,0.934964544
d1h19,283.4550794,20.79989792,300.31935,25.26527,181.3043609,12.72107274,527.1215,527.1215,-0.302195758,-0.323178928,1.620310105,1.457619227,361.07028,25.514596,63.96229035,61.15930375,0.920266443,0.937772652
d1h20,288.7592892,21.79721113,311.2457,25.93015,181.8858703,12.78825171,524.2043,524.2043,-0.31206059,-0.325914645,1.624424922,1.496049042,351.1391,25.0159375,62.98875121,58.66921064,0.910438087,0.936161452
d1h21,223.1289097,22.60670412,150.2962,25.59771,227.8647536,15.66626856,592.7578,592.7578,0.429801995,-0.124966781,1.498821673,1.35188066,482.558749,31.91402,102.1224699,69.2992153,0.803006799,0.742531419
d2h1,209.4463244,14.94052011,238.7687,17.28676,100.7347662,7.922006743,355.8082,355.8082,-0.8756484,-0.485932654,2.566407156,1.963158576,120.390825,12.7157455,48.09574316,53.02363429,0.792630621,0.784226562
d2h2,227.0536388,16.62023405,268.8206,19.94627,110.6641015,8.486837063,355.8082,355.8082,-0.934183996,-0.692402677,2.512009219,2.032016226,139.0809,14.294823,48.73918873,51.06328249,0.806970846,0.815946124
d2h3,233.2027898,16.99000188,283.5631,20.61114,121.4994867,8.821357695,396.9428,396.9428,-0.786221562,-0.623800078,2.262006131,1.904627348,171.7329,15.292133,52.10035727,51.92087534,0.841734885,0.843743828
