Drill Holes,Actual RUL,Predicted RUL
d11h1,22,21
d11h2,21,20
d11h3,20,20
d11h4,19,19
d11h5,18,18
d11h6,17,17
d11h7,16,16
d11h8,15,15
d11h9,14,14
d11h10,13,12
d11h11,12,12
d11h12,11,11
d11h13,10,10
d11h14,9,10
d11h15,8,7
d11h16,7,7
d11h17,6,6
d11h18,5,5
d11h19,4,4
d11h20,3,3
d11h21,2,2
d11h22,1,1
d11h23,0,0
d12h1,20,20
d12h2,19,19
d12h3,18,18
d12h4,17,17
d12h5,16,16
d12h6,15,15
d12h7,14,14
d12h8,13,13
d12h9,12,12
d12h10,11,11
d12h11,10,10
d12h12,9,10
d12h13,8,7
d12h14,7,7
d12h15,6,6
d12h16,5,5
d12h17,4,4
d12h18,3,3
d12h19,2,2
d12h20,1,1
d12h21,0,0
d13h1,44,21
d13h2,43,20
d13h3,42,20
d13h4,41,20
d13h5,40,20
d13h6,39,20
d13h7,38,20
d13h8,37,20
d13h9,36,20
d13h10,35,20
d13h11,34,20
d13h12,33,20
d13h13,32,20
d13h14,31,21
d13h15,30,21
d13h16,29,20
d13h17,28,20
d13h18,27,20
d13h19,26,20
d13h20,25,20
d13h21,24,20
d13h22,23,20
d13h23,22,20
d13h24,21,20
d13h25,20,20
d13h26,19,19
d13h27,18,18
d13h28,17,16
d13h29,16,16
d13h30,15,15
d13h31,14,14
d13h32,13,12
d13h33,12,12
d13h34,11,11
d13h35,10,9
d13h36,9,9
d13h37,8,8
d13h38,7,7
d13h39,6,6
d13h40,5,5
d13h41,4,4
d13h42,3,3
d13h43,2,2
d13h44,1,1
d13h45,0,0
d14h1,43,21
d14h2,42,20
d14h3,41,20
d14h4,40,20
d14h5,39,19
d14h6,38,20
d14h7,37,20
d14h8,36,20
d14h9,35,20
d14h10,34,20
d14h11,33,20
d14h12,32,20
d14h13,31,19
d14h14,30,20
d14h15,29,20
d14h16,28,20
d14h17,27,20
d14h18,26,20
d14h19,25,20
d14h20,24,20
d14h21,23,19
d14h22,22,19
d14h23,21,21
d14h24,20,20
d14h25,19,19
d14h26,18,18
d14h27,17,17
d14h28,16,15
d14h29,15,14
d14h30,14,14
d14h31,13,13
d14h32,12,12
d14h33,11,11
d14h34,10,10
d14h35,9,9
d14h36,8,8
d14h37,7,7
d14h38,6,6
d14h39,5,5
d14h40,4,4
d14h41,3,3
d14h42,2,2
d14h43,1,1
d14h44,0,0
